method,run_id,iteration,residual
HiSD,comparison_HiSD_seed1_repeat1,2880,0.0016605127583604717
HiSD,comparison_HiSD_seed1_repeat1,2890,0.0016596533350378582
HiSD,comparison_HiSD_seed1_repeat1,2900,0.001658796775880036
HiSD,comparison_HiSD_seed1_repeat1,2910,0.0016579428772308816
HiSD,comparison_HiSD_seed1_repeat1,2920,0.0016570914527566987
HiSD,comparison_HiSD_seed1_repeat1,2930,0.0016562423317021328
HiSD,comparison_HiSD_seed1_repeat1,2940,0.0016553953575207966
HiSD,comparison_HiSD_seed1_repeat1,2950,0.0016545503869109445
HiSD,comparison_HiSD_seed1_repeat1,2960,0.0016537072887226724
HiSD,comparison_HiSD_seed1_repeat1,2970,0.0016528659422500942
HiSD,comparison_HiSD_seed1_repeat1,2980,0.0016520262370050007
HiSD,comparison_HiSD_seed1_repeat1,2990,0.001651188071818153
HiSD,comparison_HiSD_seed1_repeat1,3000,0.0016503513539995855
HiSD,comparison_HiSD_seed1_repeat1,3010,0.001649515998227234
HiSD,comparison_HiSD_seed1_repeat1,3020,0.001648681926294589
HiSD,comparison_HiSD_seed1_repeat1,3030,0.0016478490666122839
HiSD,comparison_HiSD_seed1_repeat1,3040,0.0016470173535301647
HiSD,comparison_HiSD_seed1_repeat1,3050,0.001646186726755009
HiSD,comparison_HiSD_seed1_repeat1,3060,0.0016453571308392612
HiSD,comparison_HiSD_seed1_repeat1,3070,0.0016445285149777726
HiSD,comparison_HiSD_seed1_repeat1,3080,0.0016437008325377233
HiSD,comparison_HiSD_seed1_repeat1,3090,0.00164287404066915
HiSD,comparison_HiSD_seed1_repeat1,3100,0.0016420481001666227
HiSD,comparison_HiSD_seed1_repeat1,3110,0.0016412229749345492
HiSD,comparison_HiSD_seed1_repeat1,3120,0.0016403986317928192
HiSD,comparison_HiSD_seed1_repeat1,3130,0.001639575040286259
HiSD,comparison_HiSD_seed1_repeat1,3140,0.0016387521724518833
HiSD,comparison_HiSD_seed1_repeat1,3150,0.0016379300025629547
HiSD,comparison_HiSD_seed1_repeat1,3160,0.0016371085070030313
HiSD,comparison_HiSD_seed1_repeat1,3170,0.001636287664104428
HiSD,comparison_HiSD_seed1_repeat1,3180,0.0016354674539258822
HiSD,comparison_HiSD_seed1_repeat1,3190,0.0016346478581585543
HiSD,comparison_HiSD_seed1_repeat1,3200,0.0016338288599413435
HiSD,comparison_HiSD_seed1_repeat1,3210,0.0016330104437560081
HiSD,comparison_HiSD_seed1_repeat1,3220,0.001632192595382836
HiSD,comparison_HiSD_seed1_repeat1,3230,0.0016313753016881608
HiSD,comparison_HiSD_seed1_repeat1,3240,0.0016305585506274673
HiSD,comparison_HiSD_seed1_repeat1,3250,0.0016297423311033442
HiSD,comparison_HiSD_seed1_repeat1,3260,0.0016289266328896289
HiSD,comparison_HiSD_seed1_repeat1,3270,0.0016281114465883635
HiSD,comparison_HiSD_seed1_repeat1,3280,0.001627296763559488
HiSD,comparison_HiSD_seed1_repeat1,3290,0.0016264825758129714
HiSD,comparison_HiSD_seed1_repeat1,3300,0.001625668876012341
HiSD,comparison_HiSD_seed1_repeat1,3310,0.0016248556573994987
HiSD,comparison_HiSD_seed1_repeat1,3320,0.0016240429137432942
HiSD,comparison_HiSD_seed1_repeat1,3330,0.0016232306392791483
HiSD,comparison_HiSD_seed1_repeat1,3340,0.001622418828745273
HiSD,comparison_HiSD_seed1_repeat1,3350,0.001621607477220975
HiSD,comparison_HiSD_seed1_repeat1,3360,0.0016207965802246397
HiSD,comparison_HiSD_seed1_repeat1,3370,0.0016199861335772202
HiSD,comparison_HiSD_seed1_repeat1,3380,0.00161917613346027
HiSD,comparison_HiSD_seed1_repeat1,3390,0.001618366576300369
HiSD,comparison_HiSD_seed1_repeat1,3400,0.0016175574588364135
HiSD,comparison_HiSD_seed1_repeat1,3410,0.0016167487780324274
HiSD,comparison_HiSD_seed1_repeat1,3420,0.0016159405310863556
HiSD,comparison_HiSD_seed1_repeat1,3430,0.0016151327154103024
HiSD,comparison_HiSD_seed1_repeat1,3440,0.001614325328587257
HiSD,comparison_HiSD_seed1_repeat1,3450,0.0016135183684006203
HiSD,comparison_HiSD_seed1_repeat1,3460,0.0016127118327885098
HiSD,comparison_HiSD_seed1_repeat1,3470,0.0016119057198354628
HiSD,comparison_HiSD_seed1_repeat1,3480,0.0016111000277675828
HiSD,comparison_HiSD_seed1_repeat1,3490,0.0016102947549327079
HiSD,comparison_HiSD_seed1_repeat1,3500,0.0016094898998056416
HiSD,comparison_HiSD_seed1_repeat1,3510,0.001608685460955779
HiSD,comparison_HiSD_seed1_repeat1,3520,0.0016078814370533796
HiSD,comparison_HiSD_seed1_repeat1,3530,0.0016070778268636667
HiSD,comparison_HiSD_seed1_repeat1,3540,0.0016062746292286535
HiSD,comparison_HiSD_seed1_repeat1,3550,0.001605471843073634
HiSD,comparison_HiSD_seed1_repeat1,3560,0.0016046694673871621
HiSD,comparison_HiSD_seed1_repeat1,3570,0.0016038675012268616
HiSD,comparison_HiSD_seed1_repeat1,3580,0.0016030659437100434
HiSD,comparison_HiSD_seed1_repeat1,3590,0.0016022647940088421
HiSD,comparison_HiSD_seed1_repeat1,3600,0.0016014640513426816
HiSD,comparison_HiSD_seed1_repeat1,3610,0.0016006637149789703
HiSD,comparison_HiSD_seed1_repeat1,3620,0.001599863784228666
HiSD,comparison_HiSD_seed1_repeat1,3630,0.0015990642584426714
HiSD,comparison_HiSD_seed1_repeat1,3640,0.001598265137005305
HiSD,comparison_HiSD_seed1_repeat1,3650,0.0015974664193358524
HiSD,comparison_HiSD_seed1_repeat1,3660,0.0015966681048841325
HiSD,comparison_HiSD_seed1_repeat1,3670,0.0015958701931252507
HiSD,comparison_HiSD_seed1_repeat1,3680,0.0015950726835631498
HiSD,comparison_HiSD_seed1_repeat1,3690,0.0015942755757260424
HiSD,comparison_HiSD_seed1_repeat1,3700,0.0015934788691627907
HiSD,comparison_HiSD_seed1_repeat1,3710,0.001592682563441946
HiSD,comparison_HiSD_seed1_repeat1,3720,0.0015918866581516708
HiSD,comparison_HiSD_seed1_repeat1,3730,0.0015910911528968451
HiSD,comparison_HiSD_seed1_repeat1,3740,0.0015902960472965644
HiSD,comparison_HiSD_seed1_repeat1,3750,0.0015895013409874398
HiSD,comparison_HiSD_seed1_repeat1,3760,0.0015887070336178537
HiSD,comparison_HiSD_seed1_repeat1,3770,0.0015879131248469778
HiSD,comparison_HiSD_seed1_repeat1,3780,0.0015871196143471664
HiSD,comparison_HiSD_seed1_repeat1,3790,0.001586326501801024
HiSD,comparison_HiSD_seed1_repeat1,3800,0.001585533786900934
HiSD,comparison_HiSD_seed1_repeat1,3810,0.001584741469347574
HiSD,comparison_HiSD_seed1_repeat1,3820,0.001583949548849221
HiSD,comparison_HiSD_seed1_repeat1,3830,0.0015831580251217169
HiSD,comparison_HiSD_seed1_repeat1,3840,0.0015823668978890528
HiSD,comparison_HiSD_seed1_repeat1,3850,0.001581576166881491
HiSD,comparison_HiSD_seed1_repeat1,3860,0.0015807858318332207
HiSD,comparison_HiSD_seed1_repeat1,3870,0.001579995892486401
HiSD,comparison_HiSD_seed1_repeat1,3880,0.0015792063485857931
HiSD,comparison_HiSD_seed1_repeat1,3890,0.0015784171998831798
