method,label,status,converged,iterations,final_residual,final_index,quantity,repetition_1,repetition_2,repetition_3,median,min,max
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_shared_initial,0.10702166601549834,0.1102429999737069,0.10496283299289644,0.10702166601549834,0.10496283299289644,0.1102429999737069
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_H0_build,0.10381991698523052,0.10717033297987655,0.10170349999680184,0.10381991698523052,0.10170349999680184,0.10717033297987655
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_shared_spectrum,0.0031529589905403554,0.002999834017828107,0.0032035420008469373,0.0031529589905403554,0.002999834017828107,0.0032035420008469373
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_shared_other,4.879003972746432e-05,7.283297600224614e-05,5.579099524766207e-05,5.579099524766207e-05,4.879003972746432e-05,7.283297600224614e-05
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_method_initial,0.006822708994150162,0.0059904580120928586,0.006276208005147055,0.006276208005147055,0.0059904580120928586,0.006822708994150162
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_initial_eig,0.0037114580045454204,0.0033037499815691262,0.003299082978628576,0.0033037499815691262,0.003299082978628576,0.0037114580045454204
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_outer,0.09772712501580827,0.09782799999811687,0.10083916698931716,0.09782799999811687,0.09772712501580827,0.10083916698931716
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_metric_setup,0.0031020000169519335,0.0026841250073630363,0.002975041017634794,0.002975041017634794,0.0026841250073630363,0.0031020000169519335
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_metric_apply,0.0005375331675168127,0.0005977140681352466,0.0004975518095307052,0.0005375331675168127,0.0004975518095307052,0.0005977140681352466
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_metric_solve,0.005963171977782622,0.0060381228977348655,0.005900074931560084,0.005963171977782622,0.005900074931560084,0.0060381228977348655
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_frame,0.0840607120480854,0.08413412503432482,0.08671917009633034,0.08413412503432482,0.0840607120480854,0.08671917009633034
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_cert_Hessian,0.10344891701242886,0.10256283398484811,0.10583608399610966,0.10344891701242886,0.10256283398484811,0.10583608399610966
